"_u1.delaytype",_u1.averagedelay
LateAircraftDelay,45.3195651318449
WeatherDelay,44.89396866616086
CarrierDelay,35.351155079872676
NASDelay,27.00556089161959
SecurityDelay,19.085769770201747
